Barcode,Cluster
adamjhlo-1,2
adaonfop-1,4
adapfgek-1,1
adbbnhcc-1,3
adbbonba-1,1
adbidbpj-1,2
adbjeofo-1,2
adbjpkag-1,3
adblgncd-1,1
adbmhdmd-1,2
adbnappc-1,2
adbocpom-1,1
adboiicp-1,1
adbpmali-1,4
adcbphhk-1,2
adccbjfk-1,2
adcgbnck-1,2
adciaflm-1,1
adcinbee-1,1
adcjgbek-1,1
adcjhdoo-1,1
adckdlob-1,1
adckgpbo-1,1
adcllgdf-1,1
adclmgjc-1,1
adcmfbmh-1,1
adcmfkme-1,4
adcndmbf-1,1
adcobdbh-1,1
adcobejp-1,1
addafhdi-1,1
addbcoeo-1,4
addcdfcn-1,1
adddegac-1,3
addenand-1,3
addenfcm-1,3
addfcomi-1,3
addfmkgp-1,2
addfnojg-1,2
addgfeld-1,1
addikjbk-1,4
addjepep-1,1
addjoipj-1,3
addkopkm-1,2
addmcafg-1,4
addnlppl-1,2
addojamm-1,3
adecnikc-1,1
adeefejc-1,3
adeeoebp-1,3
adefckai-1,3
adeffiap-1,1
adegcikj-1,1
adehoogo-1,1
adelgfjb-1,1
adelonbh-1,2
adeoeihi-1,1
adfagljl-1,1
adfaphph-1,1
adfbcapo-1,1
adfciefk-1,2
adfeblmf-1,2
adffdfgm-1,2
adfgipao-1,1
adfiehmf-1,2
adfjhkfo-1,2
adflbfab-1,2
adfldbam-1,2
adfmilcb-1,1
adfmldgh-1,1
adfpahbk-1,3
adfpghee-1,2
adgaebep-1,2
adgalnpa-1,1
adgdghfl-1,1
adgebijk-1,4
adgecibj-1,1
adgephej-1,1
adgflacb-1,3
adggagpo-1,3
adggnemg-1,1
adghebnj-1,2
adghmbkh-1,3
adgjkieg-1,2
adglbmdo-1,1
adglhpep-1,1
adgnfcok-1,2
adgnicpf-1,4
adgodinm-1,3
adgphdmj-1,3
adhbjfll-1,1
adhbopaa-1,2
adhckpoa-1,3
adhejoan-1,2
adhgbaio-1,1
adhjlkkb-1,1
adhjpggn-1,1
adhkldej-1,1
adhmbhni-1,1
adhmcegk-1,4
adhnbiog-1,2
adhngplo-1,1
adhogjgn-1,4
adiccigk-1,1
adicgcha-1,3
adidkkba-1,3
adiebcjj-1,2
adifhlih-1,1
adighekp-1,1
adikenhd-1,1
adikgjde-1,4
adiklgkp-1,1
adiomfaf-1,2
adjaidoi-1,1
adjaooim-1,1
adjbfcbg-1,3
adjbgnkh-1,1
adjchfjd-1,1
adjdoigf-1,2
adjeikfj-1,1
adjfhlko-1,2
adjhppik-1,4
adjknneh-1,4
adjlhhch-1,4
adjmbaah-1,3
adjmndkk-1,1
adjncafb-1,4
adjndpno-1,2
adjnhjik-1,4
adjoikak-1,1
adjpoced-1,1
adkdkbpn-1,1
adkgojmp-1,3
adkgoohc-1,1
adkhdeam-1,4
adkiggdc-1,4
adkiikdk-1,2
adkijogb-1,4
adkjhpkg-1,2
adkkjilg-1,1
adkkodjp-1,4
adklhnbp-1,2
adklicch-1,2
adkmdalg-1,1
adknepjm-1,2
adkngmpd-1,2
adknoloe-1,1
adlbhdek-1,3
adlccbnm-1,1
adldladg-1,4
adleokfj-1,2
adlfeomo-1,2
adlfkdff-1,2
adlgdnao-1,2
adlhklgd-1,2
adlhplaf-1,2
adlihgna-1,2
adlkhaba-1,3
adlldelk-1,4
adllkfie-1,4
adlnbnda-1,3
adlnoacb-1,1
admbdoob-1,2
admbfdhg-1,3
admbiecg-1,3
admbjhle-1,3
admcidpm-1,3
admheffd-1,1
admicgog-1,3
admkmefi-1,3
admlbjib-1,3
admlkgac-1,3
admlklfp-1,3
admmcjdg-1,3
admoiihf-1,1
adnalogi-1,1
adncajpc-1,4
adncbopn-1,3
adnfeifp-1,3
adnfeijc-1,3
adnhnpjm-1,3
adnhpalo-1,1
adnihjek-1,3
adnimfho-1,3
adnkmgak-1,3
adnkmkje-1,3
adnmbjai-1,3
adnpdbgk-1,4
adnphmfm-1,4
adnplaoo-1,3
adnppcon-1,2
adoajepi-1,1
adoblofd-1,1
adobohfd-1,4
adodmnfh-1,1
adoekgdj-1,1
adoekhcj-1,2
adogikfh-1,1
adoheoca-1,4
adoiapic-1,2
adoimbmf-1,4
adolablk-1,2
adolknmc-1,2
adomdkcn-1,4
adomhpgp-1,2
adondcfp-1,1
adonhnkh-1,2
adooajfk-1,3
adpaaall-1,1
adpadjih-1,2
adpbklin-1,4
adpdadge-1,4
adpdjiej-1,4
adpeejeo-1,4
adpglkdo-1,3
adpimeii-1,2
adpkfodb-1,2
adppgdci-1,1
adpponmn-1,1
aeaagioi-1,2
aeabjpln-1,1
aeacmbao-1,2
aeadenmb-1,4
aeadgmkf-1,2
aeaefgoj-1,4
aeafjjgh-1,1
aeahchhg-1,1
aeainbgi-1,3
aeajldke-1,3
aeakkhol-1,1
aealaifh-1,2
aealgojk-1,1
