Barcode,Cluster
aclgpfkk-1,2
aclhjkhg-1,1
aclhpnnk-1,2
aclidjnc-1,1
acljbbkc-1,1
acljlfpm-1,2
aclkojlf-1,3
acllekmb-1,1
aclngapi-1,3
aclnihgn-1,1
aclnnkke-1,1
acmaadhl-1,2
acmahhdi-1,4
acmbgdbg-1,1
acmciokp-1,4
acmdckil-1,1
acmdkghg-1,1
acmeaigo-1,2
acmfadlg-1,3
acmfahmd-1,1
acmfbmcn-1,1
acmggebe-1,5
acmgonkl-1,1
acmhabbp-1,1
acmheonc-1,2
acmhflic-1,3
acmjdnaj-1,4
acmjkpdo-1,2
acmldend-1,1
acmlhjdm-1,1
acmobahn-1,1
acmokfog-1,1
acmokokf-1,1
acmopaoi-1,2
acmpnpmc-1,1
acnaafcm-1,1
acnbgmen-1,1
acnbjbca-1,1
acnbocne-1,1
acnbpdbl-1,1
acncdima-1,1
acneoomh-1,6
acnfacmm-1,1
acnfebej-1,5
acnfjimm-1,2
acngianm-1,1
acnjfnmp-1,1
acnjoigc-1,1
acnljnep-1,1
acnmlidg-1,1
acnneajh-1,1
acnoeleo-1,4
acnpmhle-1,1
acocbilp-1,1
acogadid-1,1
acohbokp-1,1
acohdkff-1,1
acohjcdo-1,2
acoiajpc-1,2
acoionfh-1,4
acojnpfo-1,1
acondchf-1,1
acookhel-1,6
acopfoco-1,1
acoppcbm-1,6
acpakdfk-1,5
acpbicin-1,4
acpclake-1,1
acpdgafn-1,1
acpdigmm-1,5
acpeiebm-1,5
acpenglk-1,1
acpfgena-1,1
acpflclc-1,4
acpgghfb-1,5
acphglpg-1,2
acphkadf-1,3
acphndal-1,1
acpialff-1,4
acpjejpa-1,2
acpjelpf-1,2
acpjiond-1,5
acpkgpej-1,5
acpkjlpp-1,4
acpkohob-1,1
acpmecpd-1,2
acpnaefo-1,5
acpnjaep-1,5
acpofmec-1,1
acppapnf-1,1
adaabcol-1,6
adaafbog-1,6
adaaljli-1,1
adaaomcn-1,1
adabdcel-1,1
adacaooe-1,6
adagabei-1,4
adagdmhe-1,1
adaimeom-1,4
adakdgje-1,1
adamgdja-1,1
adaofkjp-1,3
adaohbdd-1,1
adbahccn-1,1
adbcbpbf-1,5
adbcbpop-1,1
adbcpbbm-1,1
adbeehng-1,1
adbefbgm-1,1
adbfmdkk-1,1
adbiclod-1,3
adbidknj-1,1
adbjcpda-1,2
adbjenhh-1,1
adbjmiln-1,1
adbmibon-1,5
adbojmjc-1,2
adcafpkl-1,1
adcalfam-1,3
adccbkih-1,2
adcckamf-1,1
adcdbhmn-1,3
adcdebif-1,1
adcdicdd-1,1
adcdijbb-1,6
adcdikjl-1,1
adcdjcle-1,2
adcfbaae-1,1
adcfcccc-1,2
adcfdnod-1,1
adcgpicl-1,1
adchgppd-1,1
adcimedo-1,1
adcjgpcn-1,1
adclkipf-1,1
adcmbkib-1,6
adcnijff-1,4
adcpaaok-1,1
addahefl-1,4
addajdpc-1,1
addalcai-1,1
addegmdp-1,1
addehodl-1,5
addelifb-1,5
addgdpgd-1,5
addifcpj-1,1
addjkpag-1,2
addkffak-1,2
addlchhn-1,3
addllmle-1,1
addmmili-1,1
addnjbjp-1,3
addnmpca-1,2
addondbo-1,4
adeajgfi-1,1
adebahfa-1,1
adebhlpc-1,1
adebmpln-1,3
adecejgi-1,1
adedbjel-1,5
adedhjha-1,5
adedhldj-1,2
adeedfkn-1,6
adeehacd-1,5
adeenfli-1,1
adefdagd-1,1
adefglcl-1,1
adefnbnp-1,1
adeggdim-1,4
adeghbgl-1,2
adehdnpe-1,2
adeibije-1,2
adekaina-1,5
adekogal-1,1
adelejba-1,6
adelgamn-1,2
adeloifp-1,2
adeoaljm-1,1
adepbnem-1,5
adfafipm-1,2
adfbkkmc-1,2
adfcdmgp-1,1
adfcnjmg-1,1
adfcpilp-1,2
adfdjpnc-1,4
adfejcnh-1,2
adfepmag-1,1
adffdclp-1,1
adffjilp-1,1
adfgceip-1,2
adfgidae-1,4
adfgkbek-1,1
adfhfnno-1,1
adficlib-1,6
adfkfojm-1,1
adfnadpi-1,1
adfnaoin-1,4
adfngbha-1,3
adfnjoen-1,1
adfnmajn-1,4
adfomjce-1,1
adfophmh-1,1
adfpaiik-1,1
adfpnfai-1,1
adgagael-1,1
adganiid-1,6
adgbfbcc-1,2
adgcakgb-1,1
adgcncce-1,6
adgdecfo-1,3
adgdjdhg-1,2
adgdkhln-1,4
adgdmgpk-1,5
adgepkbn-1,6
adgfibfh-1,1
adgfkaae-1,1
adggejpi-1,1
adghifaj-1,4
adgjegnj-1,4
adgjfgkk-1,6
adgkclmh-1,1
adgkedab-1,1
adgnmdfm-1,1
adgnpljk-1,1
adgpllie-1,2
adhalegd-1,2
adhchgmf-1,2
adhdbdop-1,3
adhdhjbb-1,3
adhfobhg-1,3
adhgiion-1,1
adhgoobe-1,2
adhinlaa-1,2
adhjdjdh-1,2
adhjeall-1,2
adhjgdfa-1,1
adhkcnba-1,1
adhkjbkc-1,1
adhkpnbn-1,1
adhlfmdo-1,4
adhmlbci-1,2
adhnckic-1,1
adholdjc-1,1
adhophbh-1,1
adhpklap-1,1
adiaciga-1,2
adiaiiaj-1,1
adiaomac-1,4
adibjcca-1,6
adidhjoi-1,4
adiedeld-1,1
adiehbbe-1,6
adieoici-1,1
adiepmfc-1,1
adigcdld-1,1
adigdalk-1,1
adiginoo-1,1
adihfgem-1,1
adijloim-1,1
adijnhnc-1,1
adileefi-1,1
adimagmc-1,5
adindibe-1,4
adinpcbd-1,4
adiobhni-1,1
adipcfkj-1,4
adjbojnn-1,4
adjcjknk-1,1
adjeafad-1,5
adjecefo-1,2
adjejgcd-1,2
adjfjene-1,2
adjfjfai-1,1
adjfmlni-1,2
adjfpkam-1,1
adjgilem-1,1
adjhjmil-1,1
adjjnepn-1,6
adjkhfci-1,4
adjklffk-1,1
adjlbogj-1,2
adjlmigm-1,2
adjmfpld-1,1
adjojied-1,1
adjombcm-1,1
adjomhjb-1,1
adjonhfk-1,4
adjpgehl-1,1
adkapoon-1,1
adkbccli-1,2
adkcaomc-1,5
adkcjclp-1,1
adkegdgo-1,4
adkennfg-1,1
adkfokbg-1,5
adkikgaa-1,2
adkjaojn-1,4
adkjjgai-1,1
adkkadbm-1,1
adkkinff-1,1
adkklnan-1,2
adklhofa-1,1
adknidbe-1,1
adkpnkfb-1,1
adkpphcn-1,5
adlalpcm-1,1
adlcdgpk-1,2
adlcegoe-1,1
adlepppd-1,1
adlfffac-1,4
adlglimf-1,1
adlinfhe-1,2
adljfcbf-1,1
adljggin-1,1
adlkcdfc-1,4
adlkfmfn-1,2
adlkjglg-1,2
adlmkjao-1,2
adlnfakd-1,1
adlolpfp-1,4
admbofgj-1,1
admdhinj-1,1
admdkpii-1,2
admdpfde-1,1
admedepe-1,1
admeepnl-1,1
admgaelf-1,2
admgggnm-1,1
admjemma-1,2
admjokih-1,4
admkgoif-1,4
admlimik-1,2
admllafm-1,5
admmlipg-1,2
admngdmb-1,2
admoepif-1,4
admpeeef-1,2
admpmlib-1,4
admppcpf-1,5
adnbohfc-1,1
adnboopf-1,2
adndeajc-1,3
adndlmeo-1,4
adndmbig-1,2
adnffodn-1,5
adnfmdik-1,3
adnghekk-1,1
adnhlcnn-1,4
adnhndmb-1,1
adnjbfad-1,2
adnjjfap-1,1
adnlelnf-1,1
adnlnjpa-1,5
adnnhpgi-1,2
adnpjpeb-1,1
adoaonoc-1,1
adoapoll-1,1
adobjgci-1,2
adoecpdj-1,1
adoefkag-1,1
adofllmo-1,2
adoganfe-1,1
adogghcg-1,1
adoikbnb-1,2
adoljmbh-1,1
adomaekb-1,1
adomknfj-1,1
adoneamm-1,1
adonnkeo-1,2
adopdlcp-1,2
adpadpoh-1,1
adpakbme-1,2
adpbfcmb-1,2
adpcdfkg-1,2
adpdmmhj-1,2
adpedhpc-1,1
adpeejom-1,2
adpfhfcm-1,1
adpggice-1,2
adpgjodk-1,2
adphllob-1,4
