NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ZNF841	1	ZNF841	
CSMD1	1	CSMD1	
ADGRA1-AS1	1	ADGRA1-AS1	
GRIN2A	1	GRIN2A	
ANKRD50	1	ANKRD50	
MPPED2	1	MPPED2	
MESP1	1	MESP1	
GUCY1A1	1	GUCY1A1	
HMGN3-AS1	1	HMGN3-AS1	
ANKRD34C-AS1	1	ANKRD34C-AS1	
ZNF236-DT	1	ZNF236-DT	
ZNF189	1	ZNF189	
CFC1	1	CFC1	
FRA10AC1	1	FRA10AC1	
LETR1	1	LINC01197	
NOL4	1	NOL4	
PPP1R14A	1	PPP1R14A	
CNKSR2	1	CNKSR2	
VRK1	1	VRK1	
ERV3-1	1	ERV3-1	
SLC38A2	1	SLC38A2	
BSPRY	1	BSPRY	
OXR1	1	OXR1	
CCDC102B	1	CCDC102B	
LRRD1	1	LRRD1	
CDS1	1	CDS1	
TMEM268	1	TMEM268	
OPRK1	1	OPRK1	
MYT1L	1	MYT1L	
TMEM72-AS1	1	TMEM72-AS1	
GOLT1A	1	GOLT1A	
RWDD2A	1	RWDD2A	
ZFYVE1	1	ZFYVE1	
RRS1	1	RRS1	
OPRL1	1	OPRL1	
NECTIN1	1	NECTIN1	
CFAP99	1	CFAP99	
VEGFD	1	VEGFD	
SACS	1	SACS	
TACR3	1	TACR3	
CORO2A	1	CORO2A	
INTS4	1	INTS4	
SLC16A8	1	SLC16A8	
CSDC2	1	CSDC2	
DENND1B	1	DENND1B	
KCNQ1OT1	1	KCNQ1OT1	
MTERF2	1	MTERF2	
GULP1	1	GULP1	
SEMA3D	1	SEMA3D	
SOX7	1	SOX7	
KCNQ5	1	KCNQ5	
GAL	1	GAL	
SCLT1	1	SCLT1	
LCNL1	1	LCNL1	
PNMA8C	1	PNMA8C	
ZNF48	1	ZNF48	
HLA-DQB1	1	HLA-DQB1	
C2CD2	1	C2CD2	
ME3	1	ME3	
RAPGEF5	1	RAPGEF5	
PDE10A	1	PDE10A	
NSUN6	1	NSUN6	
PCLO	1	PCLO	
GNG2	1	GNG2	
GLDN	1	GLDN	
SATB1	1	SATB1	
ANLN	1	ANLN	
MARCHF1	1	MARCH1	
L3HYPDH	1	L3HYPDH	
CDH13	1	CDH13	
NIPSNAP3B	1	NIPSNAP3B	
GABRA3	1	GABRA3	
SLCO5A1	1	SLCO5A1	
PLEKHA5	1	PLEKHA5	
LINC02552	1	LINC02552	
CDC25A	1	CDC25A	
PLD6	1	PLD6	
OLFM2	1	OLFM2	
APPAT	1	AC092683.1	
SOS1	1	SOS1	
GPD1	1	GPD1	
DIO2	1	DIO2	
MIR3936HG	1	MIR3936HG	
ZNF324B	1	ZNF324B	
MAPK15	1	MAPK15	
TUBA8	1	TUBA8	
AGO3	1	AGO3	
SPIN2A	1	SPIN2A	
POGLUT1	1	POGLUT1	
PAPSS2	1	PAPSS2	
ZBTB24	1	ZBTB24	
JMJD1C-AS1	1	JMJD1C-AS1	
NAGS	1	NAGS	
VGLL3	1	VGLL3	
PALD1	1	PALD1	
ZNF382	1	ZNF382	
STRIP1	1	STRIP1	
CERK	1	CERK	
GSE1	1	GSE1	
SELENOO	1	SELENOO	
TMEM255B	1	TMEM255B	
C9orf40	1	C9orf40	
RSRP1	1	RSRP1	
ERC1	1	ERC1	
SORD	1	SORD	
TF	1	TF	
COX10-DT	1	COX10-AS1	
CRLF3	1	CRLF3	
PPFIA2	1	PPFIA2	
LINC02525	1	LINC02525	
PROSER2	1	PROSER2	
ID2-AS1	1	ID2-AS1	
RNF175	1	RNF175	
NEFL	1	NEFL	
ZNF891	1	ZNF891	
CPEB1	1	CPEB1	
CACNG2	1	CACNG2	
SLC39A11	1	SLC39A11	
