Barcode,Cluster
acdoaibo-1,1
acdohoen-1,3
acecmnog-1,3
acedhnen-1,3
aceemcbe-1,1
aceihooh-1,3
acekafek-1,1
acekgdnd-1,2
acelhefl-1,2
acepeojk-1,1
acfahneo-1,1
acfaoogc-1,3
acfbmodf-1,1
acfbonmo-1,1
acfdhngn-1,1
acfedcno-1,1
acffofhk-1,1
acfgknoc-1,1
acfhmhkd-1,1
acfibead-1,1
acfjiigd-1,1
acfkgdch-1,1
acfmmhie-1,1
acfmooan-1,1
acfodmia-1,1
acfoffpp-1,1
acfpoehb-1,1
acgahiik-1,3
acgajbha-1,1
acgajepb-1,3
acgamhod-1,1
acgaonkd-1,3
acgbiigm-1,1
acgbkgkh-1,1
acgebadf-1,1
acgeecfn-1,1
acgehbfl-1,3
acgfddob-1,1
acgfnike-1,1
acggdgbd-1,1
acghcbjd-1,1
acgiagin-1,1
acgjcmeh-1,1
acgjkani-1,2
acgkjclm-1,2
acgmnbhd-1,1
acgncbop-1,1
acgnjbmi-1,1
acgojiap-1,1
acgpfcfa-1,1
acgpnnmj-1,1
achagegj-1,1
achapieg-1,2
achbepak-1,1
achcjmcf-1,1
achejkjn-1,1
acheooan-1,1
achgmmif-1,2
achgpmdo-1,1
achidkng-1,1
achkfekh-1,1
achkpbkm-1,1
achlbene-1,1
achninhf-1,2
achnjlde-1,1
achpmdop-1,1
aciccmho-1,1
aciciifg-1,1
acieegnb-1,1
acieilkh-1,1
acifeiao-1,3
acifhbbc-1,1
acifnlkn-1,1
acigllho-1,1
acihkndj-1,1
acihmkmi-1,3
acihojoo-1,1
aciidbii-1,2
aciifngi-1,2
aciihign-1,2
acilbogi-1,3
acileghe-1,2
acilgahf-1,2
acimbboc-1,2
aciohjko-1,2
aciopedd-1,2
acipdojg-1,2
acjagjal-1,2
acjbepfi-1,2
acjbkaca-1,2
acjcgcna-1,2
acjddeid-1,2
acjdicgj-1,2
acjfchhn-1,2
acjgcfge-1,2
acjgfcfk-1,2
acjggkjl-1,2
acjgkcfc-1,2
acjhladd-1,2
acjkemko-1,2
acjkggkd-1,2
acjlhcnb-1,2
acjndlgk-1,2
acjoakoa-1,2
acjocidh-1,2
ackachij-1,2
ackbknoi-1,2
ackccihg-1,2
ackcfafl-1,2
ackcolhh-1,2
ackdmaio-1,2
ackdmoei-1,2
ackefhap-1,2
ackeflmg-1,2
ackffiga-1,2
ackfijho-1,2
ackhjkek-1,2
ackihfjf-1,3
ackjoalj-1,3
acklakgk-1,2
acklalpe-1,2
acklgbjh-1,2
acklobgl-1,2
acknibjn-1,2
acknkccb-1,2
acknklnf-1,2
acknmfna-1,2
ackoeldn-1,2
ackpliei-1,3
ackpphpd-1,3
aclaloln-1,2
aclblkjf-1,3
aclbnmlo-1,2
acldkcpo-1,2
acldlffa-1,2
aclefefp-1,2
aclejjon-1,2
aclepfhf-1,2
aclfddaf-1,3
aclgffjg-1,1
aclhhjnh-1,2
aclhppgb-1,3
acljmcfb-1,2
aclkdfgo-1,1
aclkefnj-1,2
aclkipdg-1,2
aclldedj-1,2
acllnjjf-1,2
aclmeoae-1,2
aclmhgbf-1,2
aclmlkpc-1,2
aclmnojn-1,2
aclnigek-1,2
aclnlcok-1,2
aclnmkkd-1,2
aclohidb-1,2
aclohojj-1,2
aclpnpoo-1,2
acmcaggp-1,2
acmcjffa-1,1
acmcjgej-1,2
acmdakkj-1,2
acmddijf-1,2
acmebjnh-1,2
acmfcecp-1,2
acmgcdnm-1,2
acmgdohg-1,2
acmgjooi-1,2
acmlcgpm-1,2
acmlngle-1,2
acmlofhp-1,2
acmmagel-1,2
acmnlkbe-1,2
acmoebad-1,2
acmpamae-1,2
acmpeejh-1,2
acnbbiih-1,2
acncgjgf-1,3
acndnlbn-1,1
acnekieb-1,3
acnemapc-1,2
acnenljc-1,1
acnfcfpn-1,2
acnfcobi-1,2
acnfdaaf-1,2
acngkaim-1,1
acngnnnh-1,2
acniiecb-1,2
acnjkekk-1,2
acnjljii-1,2
acnkafhp-1,2
acnkmcgi-1,2
acnlahda-1,2
acnlehme-1,2
acnmnbap-1,2
acnpbaib-1,2
acockhda-1,2
acoclepf-1,2
acodhflo-1,2
acoeehbn-1,2
acofimoe-1,2
acofnagl-1,3
acogcpje-1,2
acohalcg-1,1
acohgkja-1,2
acohmcmg-1,3
acoiefbg-1,3
acojdlli-1,2
acojmobi-1,3
acokaapn-1,2
acombgef-1,2
